Coder_ID,Pair_type,Word_ID,Word,POS,Note,They_Q1,They_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Distinctiveness,Relatedness,Causing,Caused,Meaning_label
1,verb,3345,worry,verb,intransitive sense (they worried (about something)),yes,yes,no,no,no,yes,no,yes,no,yes,2.0
1,verb,3346,be despondent,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3347,flare,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3348,despair,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3349,dismay,verb,,yes,yes,no,no,no,no,,,no,no,1.0
1,verb,3350,passionate,verb,"verb form is archaic/obsolete, not familiar to me
going off this definition: To excite or imbue with passion, or with a particular emotion, as love, fear, anger, etc.",no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3351,be discouraged,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3352,look down on,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3353,be gleeful,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
1,verb,3354,cry,verb,,yes,yes,no,no,yes,yes,unsure,unsure,yes,no,1.0
1,verb,3354,cry,verb,as in shout,yes,yes,no,no,yes,yes,unsure,unsure,yes,no,2.0
1,verb,3355,torment,verb,,no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3356,be disturbed,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3357,be agitated,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3358,vent one's anger,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
1,verb,3359,take pains,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3360,disdain,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3361,be heartbroken,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3362,fall apart,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3363,condemn,verb,,yes,yes,no,no,yes,no,,,yes,no,1.0
1,verb,3364,mind,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3365,be satisfied,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3366,long for,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
1,verb,3367,consternate,verb,"unfamiliar to me
note to self definition: transitive. To fill with amazement and terror; to dismay.",no,yes,no,no,no,no,,,yes,no,1.0
1,verb,3368,feel guilty,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3369,adore,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3370,be conceited,verb,,yes,yes,no,no,no,no,,,no,yes,1.0
1,verb,3371,hope,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
1,verb,3372,sorrow,verb,,yes,yes,no,no,no,no,,,yes,yes,1.0
1,verb,3373,dislike,verb,,yes,yes,no,no,no,no,,,yes,no,1.0
